signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
ofi,HON,1,raw,37,0.18647383116154706,-0.163428113680514,0.48568786259969077,0.168,False,0.005792775268828933,0.00015656149375213333,0.6,0.0006664411826076089
ofi,HON,5,raw,37,0.26766239924134655,-0.11192345886253612,0.6062496548239761,0.077,False,0.0073107570195527155,0.0001975880275554788,0.6216216216216216,0.0010871276057045794
ofi,HON,15,raw,37,0.2216690374585111,-0.13709220253521032,0.5478518787558363,0.115,False,0.00824361055022789,0.0002228002851412943,0.5135135135135135,0.002209936707891059
ofi,META,1,raw,433,-0.05122772516817446,-0.14910899314445272,0.047328014003283965,0.842,False,-0.012402171237798024,-2.8642427800919226e-05,0.49765258215962443,0.000686344468868053
ofi,META,5,raw,428,-0.057575297245858484,-0.14668468576938373,0.04430667469174913,0.866,False,0.00559782855884456,1.3079038688889159e-05,0.5035294117647059,0.0014018512192381749
ofi,META,15,raw,415,-0.002322586017825661,-0.10608693795782125,0.09136548870144004,0.545,False,-0.0151662307101294,-3.6545134241275664e-05,0.5036144578313253,0.002487198596799927
ofi,NVDA,1,raw,918,0.05843779781273756,-0.010836340334617648,0.13624849224246738,0.049,False,0.024863588694433253,2.708451927498176e-05,0.5128205128205128,0.0008519007365957116
ofi,NVDA,5,raw,910,0.047676977065714284,-0.018955388606492953,0.11365832380293318,0.103,False,0.13341317428202448,0.00014660788382640054,0.5122222222222222,0.0020500778029694565
ofi,NVDA,15,raw,883,0.020717407466881225,-0.05425986014364862,0.08988566978624435,0.3,False,0.1629647753442554,0.00018455806947254293,0.5170842824601367,0.0034390252580851466
ofi,PEP,1,raw,44,-0.1422983402934518,-0.4390694331853953,0.1854240770638372,0.801,False,-0.009824713131758618,-0.00022328893481269587,0.4883720930232558,0.0009096073253891376
ofi,PEP,5,raw,43,0.11456838738049212,-0.20844458215919742,0.39816186395551834,0.227,False,0.013661899202058066,0.00031771858609437365,0.575,0.0018830057677891262
ofi,PEP,15,raw,41,0.13407675231607666,-0.20444570737085746,0.47852902662592744,0.241,False,0.014859820729669173,0.0003624346519431506,0.5128205128205128,0.00472554300104685
ofi,SOFI,1,raw,92,0.14971485831089923,-0.05584772599876119,0.3651397905205536,0.081,False,0.0059655034178428025,6.484242845481306e-05,0.4659090909090909,0.0015540266132555867
ofi,SOFI,5,raw,91,0.08656840027535878,-0.16370191838010728,0.3213303417894894,0.241,False,0.0397107888085178,0.00043638229459909666,0.5454545454545454,0.003759797700871443
ofi,SOFI,15,raw,89,-0.013747137786327766,-0.2525702598641854,0.20874420914443567,0.569,False,0.014768441130296395,0.00016593754078984713,0.5056179775280899,0.005198559435783347
ofi,TSLA,1,raw,494,0.0354589136616569,-0.05291492006301656,0.13213265752564216,0.233,False,0.028443247180225596,5.757742344175222e-05,0.5256673511293635,0.0012665468166263257
ofi,TSLA,5,raw,487,0.044364258962937574,-0.045403613856815746,0.13627356024827833,0.18,False,0.1124301280953168,0.00023086268602734455,0.5323590814196242,0.0025471852016319507
ofi,TSLA,15,raw,470,0.04318682116958341,-0.054675474089762914,0.13837813365664456,0.186,False,0.05075711293852254,0.0001079938573160054,0.5042735042735043,0.00465783861365261
ofi_x_llm,AAPL,1,raw,502,-0.07238128781711749,-0.16966222557362715,0.01977050216553355,0.942,False,-0.029409658093049844,-5.858497628097579e-05,0.453781512605042,0.000559671101665224
ofi_x_llm,AAPL,5,raw,498,-0.1045919666792451,-0.1929532586533974,-0.01689994233131271,0.987,False,-0.0571203894900622,-0.00011469957728928153,0.4444444444444444,0.0010803539519139433
ofi_x_llm,AAPL,15,raw,484,-0.07782966654132054,-0.1603251035419343,0.015083505515836544,0.952,False,-0.08652901047025985,-0.000178778947252603,0.47863247863247865,0.0017003594241692187
ofi_x_llm,AMD,1,raw,265,-0.019173460037864104,-0.1381972277517494,0.09668928400345632,0.622,False,0.008896309739635306,3.3570980149567194e-05,0.4831932773109244,0.0014203442600236244
ofi_x_llm,AMD,5,raw,262,-0.0034788774546142577,-0.13083400857035385,0.12141505778629141,0.549,False,-0.025111356372753097,-9.584487165172938e-05,0.4698275862068966,0.002836625172195995
ofi_x_llm,AMD,15,raw,246,-0.023469622723381836,-0.15650139231532859,0.1048414636551073,0.642,False,-0.00144353447189019,-5.868026308496707e-06,0.5223214285714286,0.004173182977493948
ofi_x_llm,CELH,1,raw,27,-0.1554910809339987,-0.5508719391718394,0.3231899219588821,0.745,False,-0.0009052392211471002,-3.352737856100371e-05,0.5,0.0011369376979674468
ofi_x_llm,CELH,5,raw,27,-0.26866127621819014,-0.6529191942113851,0.21279679422229827,0.875,False,-0.005677304824716302,-0.00021027054906356675,0.4,0.0032905254674026885
ofi_x_llm,CELH,15,raw,26,-0.10668490496151939,-0.4856261514542849,0.30842171371198857,0.676,False,-0.0223466329496543,-0.0008594858826790116,0.4583333333333333,0.006371013368458648
ofi_x_llm,GILD,1,raw,53,0.18844494632902606,-0.09475259706222346,0.4514608929054492,0.084,False,0.009774339686005055,0.00018442150350952933,0.54,0.0011340072721611123
ofi_x_llm,GILD,5,raw,53,0.10104227618214107,-0.17448327370465258,0.36731151946875285,0.243,False,0.016210777794453533,0.0003058637319708214,0.4489795918367347,0.0020902351692702686
ofi_x_llm,GILD,15,raw,52,0.1308004270135282,-0.2153647360440725,0.4148098970665196,0.192,False,0.009202406397120005,0.00017696935379076932,0.46938775510204084,0.004178304370170211
ofi_x_llm,HON,1,raw,37,0.09116775340841732,-0.29351457522148244,0.4318758814770716,0.341,False,0.006162138779916532,0.00016654429134909545,0.6060606060606061,0.0006622065758608099
ofi_x_llm,HON,5,raw,37,0.23804161028123744,-0.16059320088961088,0.5914326991570056,0.11,False,0.006352229544176276,0.0001716818795723318,0.6571428571428571,0.0010357878073514728
ofi_x_llm,HON,15,raw,37,0.28913520292626405,-0.04164347151373412,0.5850279604501334,0.045,False,0.01911724933540979,0.0005166824144705349,0.5714285714285714,0.0021420634058384814
ofi_x_llm,META,1,raw,433,-0.025862073941843974,-0.126500703165663,0.06805136329936676,0.724,False,-0.00014065379522502312,-3.248355547922012e-07,0.49221183800623053,0.0006108378954621635
ofi_x_llm,META,5,raw,428,0.044598364183025346,-0.052987316425748575,0.1455582869821626,0.203,False,0.037668244335068546,8.80099166707209e-05,0.5202492211838006,0.0013031772873196503
