ticker,date,file,spread_bps,n_rows,ic_1m,ic_5m,ic_15m
A,2019-11-01,A_2019-11-01_34200000_57600000_60_1,3.9,390,0.02060354214744555,0.1193377854383889,0.040804003653737646
A,2019-11-04,A_2019-11-04_34200000_57600000_60_1,4.64,390,-0.009421036417072108,0.03578960901197826,-0.010839439140522121
A,2019-11-05,A_2019-11-05_34200000_57600000_60_1,4.58,390,0.04427161697756772,0.045270429451304044,0.04403747076892862
A,2019-11-06,A_2019-11-06_34200000_57600000_60_1,4.32,390,-0.0620604805438518,0.002895774831254739,0.015948771568233967
A,2019-11-07,A_2019-11-07_34200000_57600000_60_1,5.0,390,0.05470489522180862,-0.06541349335578658,0.007077755176053296
A,2019-11-08,A_2019-11-08_34200000_57600000_60_1,5.0,390,0.033101788627972493,0.0821384861472719,-0.06314349330204881
A,2019-11-11,A_2019-11-11_34200000_57600000_60_1,4.96,390,-0.05452843717043489,0.00546031623218888,-0.05017939899313211
A,2019-11-12,A_2019-11-12_34200000_57600000_60_1,5.33,390,-0.0002508176562366671,0.037112586385238164,-0.030548956891867714
A,2019-11-13,A_2019-11-13_34200000_57600000_60_1,4.76,390,0.027746475576519346,0.04782956997083799,0.02884596075012195
A,2019-11-14,A_2019-11-14_34200000_57600000_60_1,5.51,390,-0.02296375752178183,-0.07765104779211723,-0.07370651624793799
A,2019-11-15,A_2019-11-15_34200000_57600000_60_1,4.68,390,0.0706307656598074,0.0803410427068009,-0.011293470305072826
A,2019-11-18,A_2019-11-18_34200000_57600000_60_1,3.7,390,-0.05292737001610683,-0.10131320988364083,-0.06781290446628833
A,2019-11-19,A_2019-11-19_34200000_57600000_60_1,4.04,390,-0.02528095347665156,0.0369608744209715,-0.05029454175543225
A,2019-11-20,A_2019-11-20_34200000_57600000_60_1,5.83,390,-0.035620767267705945,-0.03433819102522728,-0.03740449856014213
A,2019-11-21,A_2019-11-21_34200000_57600000_60_1,5.12,390,-0.050470146400999776,0.0712939618288011,0.04771338646644784
A,2019-11-22,A_2019-11-22_34200000_57600000_60_1,4.26,390,-0.06352684383487525,-0.025850346361155227,-0.051636755117327605
A,2019-11-25,A_2019-11-25_34200000_57600000_60_1,3.65,390,-0.010720278410465717,-0.12491378290909222,-0.019447148473877605
A,2019-11-26,A_2019-11-26_34200000_57600000_60_1,6.46,390,-0.004762135032314622,-0.06171272088846465,-0.014630977890189792
A,2019-11-27,A_2019-11-27_34200000_57600000_60_1,4.26,390,-0.054986944598872795,0.027378167198884775,0.0218739685455428
A,2019-11-29,A_2019-11-29_34200000_57600000_60_1,131.85,390,0.14816242682098513,0.04185078648195019,0.06408590816283839
A,2019-12-02,A_2019-12-02_34200000_57600000_60_1,5.72,390,0.016651183245931508,-0.0021056812469288392,-0.06088228878570529
A,2019-12-03,A_2019-12-03_34200000_57600000_60_1,5.62,390,-0.08978766495393696,-0.05715067080944131,-0.07965082599784032
A,2019-12-04,A_2019-12-04_34200000_57600000_60_1,4.5,390,-0.030891071559152872,-0.037919056445619735,0.05303328619896005
A,2019-12-05,A_2019-12-05_34200000_57600000_60_1,4.78,390,0.06004065965789893,0.06970024832974814,0.04175416727321903
A,2019-12-06,A_2019-12-06_34200000_57600000_60_1,3.75,390,-0.02659045996874068,-0.02565166816008854,-0.07590020654071311
