notebook,cell_id,stock,scorer,horizon,n,ic,ci_lo,ci_hi,p,p_adj,reject_fdr
4,cmp_TSLA_OFI×LM_1m,TSLA,OFI×LM,1.0,395.0,-0.0224720783014946,-0.1267533517299298,0.0747791798709986,0.639,0.8748387096774194,False
1,uncond_2025_LM_1m,pooled,LM,1.0,2480.0,-0.0099038679393956,-0.0491645284185862,0.0306622827103042,0.661,0.8748387096774194,False
2,split_all_5m,pooled,ofi_x_llm,5.0,12342.0,-0.0050478690830916,-0.0218131042329773,0.0122637845259931,0.704,0.8748387096774194,False
2,wald_lm_score_5m,pooled,lm_score,5.0,12342.0,,,,0.6833853993219029,0.8748387096774194,False
4,rel_direct_1m,agent_pooled,ofi_x_llm|direct,1.0,1085.0,-0.0066769234371294,-0.0656268809517701,0.0536757530109319,0.604,0.8748387096774194,False
4,cmp_META_LM_5m,META,LM,5.0,439.0,-0.0279649709672505,-0.1283572478428762,0.0709481745795125,0.72,0.8748387096774194,False
4,oos_LM_1m,pooled_2025,LM,1.0,2480.0,-0.0099038679393956,-0.0491645284185862,0.0306622827103042,0.661,0.8748387096774194,False
4,cmp_AAPL_LM_5m,AAPL,LM,5.0,502.0,-0.0155390044781617,-0.1014661920630213,0.074609990111142,0.639,0.8748387096774194,False
4,rel_unrelated_5m,agent_pooled,ofi_x_llm|unrelated,5.0,1259.0,-0.0156751537848842,-0.0728298454025294,0.0376930913295634,0.696,0.8748387096774194,False
4,rel_unrelated_15m,agent_pooled,ofi_x_llm|unrelated,15.0,1231.0,-0.0107878369537676,-0.0671247004329765,0.0461967207393411,0.628,0.8748387096774194,False
4,cmp_AMD_LLM_1m,AMD,LLM,1.0,271.0,-0.035653237116157,-0.1621656395050778,0.0873237151609541,0.708,0.8748387096774194,False
4,cmp_AMD_LLM_5m,AMD,LLM,5.0,271.0,-0.0232515071843385,-0.1518607289122196,0.0995041350621193,0.633,0.8748387096774194,False
4,cmp_AAPL_LLM_5m,AAPL,LLM,5.0,502.0,-0.0240376315333411,-0.1131515591173859,0.0689347305169497,0.708,0.8748387096774194,False
4,cmp_META_OFI×LLM_1m,META,OFI×LLM,1.0,442.0,-0.0175034574081994,-0.1116143236736273,0.0744776516847222,0.662,0.8748387096774194,False
4,rel_macro_1m,agent_pooled,ofi_x_llm|macro,1.0,773.0,-0.018796364543236,-0.0923146120430444,0.0517280013606086,0.713,0.8748387096774194,False
2,wald_lm_score_15m,pooled,lm_score,15.0,12115.0,,,,0.7741352612762161,0.9018276755073446,False
2,wald_lm_score_1m,pooled,lm_score,1.0,12430.0,,,,0.7675490467306029,0.9018276755073446,False
2,wald_llm_score_1m,pooled,llm_score,1.0,12430.0,,,,0.7711086186441196,0.9018276755073446,False
4,cmp_NVDA_LM_5m,NVDA,LM,5.0,858.0,-0.0191902843112818,-0.0869259138783594,0.0387391279569994,0.761,0.9018276755073446,False
4,cmp_META_LLM_1m,META,LLM,1.0,442.0,-0.0385820630594647,-0.1322580051133295,0.0538947070109277,0.789,0.9097653061224491,False
4,cmp_TSLA_OFI×LLM_15m,TSLA,OFI×LLM,15.0,382.0,-0.0421002696095881,-0.1497397777335722,0.0522529043953542,0.798,0.9108484848484849,False
1,uncond_2016-2020_LM_1m,pooled,LM,1.0,12430.0,-0.0087773871850558,-0.0267425953304894,0.0102345139687855,0.808,0.9130400000000001,False
4,cmp_AMD_LM_1m,AMD,LM,1.0,271.0,-0.0640484759619399,-0.1940351398956103,0.0516626387317308,0.862,0.9166728971962617,False
1,uncond_2025_LM_5m,pooled,LM,5.0,2462.0,-0.0213682237382772,-0.0615866692958571,0.0160998662728302,0.866,0.9166728971962617,False
